personnelId,lastName,firstName,phoneNumber,email,startDate,endDate,login,password
1034794,Smith,Mike,212-232-5698,mike.smith@example.com,2/22/2000,,mike.smith,crh09y?k*~^AVZ2XH_1S6CfstRdcyX#
1034793,Lee,Ryan,212-659-8956,ryan.lee@example.com,2/8/2001,,ryan.lee,JXJ:CwcO<;M*E<K4Z
1034792,Zheng,Joyce,201-459-9685,joyce.zheng@example.com,1/2/1998,,joyce.zheng,10txv&CCbd>HB4bCNGUtugj*B
1034791,Mehta,Sanjay,718-589-9685,sanjay.mehta@example.com,1/8/1998,4/8/2000,sanjay.mehta,68^OJ#HLJ1hexxwK_:ScY@
1034790,Schuetz,John,732-859-6988,john.schuetz@example.com,12/13/2001,,john.schuetz,bKtcjAv0AFofVr5K>81d@3xtEBMC@
1034789,Johnshon,John,718-895-8956,john.johnshon@example.com,7/23/2002,,john.johnshon,cN!SRN3!cehZX9Ly73;#h<1ZzR
1034788,Bhat,Ricky,202-569-8911,ricky.bhat@example.com,9/2/2014,12/31/2020,ricky.bhat,e<g^jJ52rix_hl$B0m9Ak@k
1034787,Gate,Bill,201-525-6985,bill.gate@example.com,2/12/1996,,bill.gate,0LtZ!Cj93:S>vFUF&DD0B5qkU4
1034786,Job,Steve,201-958-6958,steve.job@example.com,2/12/1996,,steve.job,02A#?9y>O0aog7weW
1034785,Edison,Thomas,732-572-0000,thomas.edison@example.com,1/1/1907,10/18/1931,thomas.edison,Q#Zs?tn#jQVaRc+Tnc1kcc$R%QmOOYWM
1034795,Edison,Tom,732-572-0000,thomas.edison@example.com,1/1/1907,10/18/1931,thomas.edison,Q#Zs?tn#jQVaRc+Tnc1kcc$R%QmOOYWM
1034796,Edison,Tom,732-572-0000,thomas.edison@example.com,1/1/1907,10/18/1931,thomas.edison,Q#Zs?tn#jQVaRc+Tnc1kcc$R%QmOOYWM
