personnelId,firstName,lastName,email,phoneNumber,startDate,endDate,login
20000108,Jason,Wade,jason.wade@example.com,471-391-1324,1/8/2000,,jason.wade
20000221,Lisa,Chen,lisa.chen@example.com,174-108-4794,2/21/2000,,lisa.chen
20000223,Jones,Lopez,jones.lopez@example.com,202-049-7513,2/23/2000,,jones.lopez
20000522,Danny,Lee,danny.lee@example.com,125-294-0679,5/22/2000,,danny.lee
20000607,Mike,Martinez,mike.martinez@example.com,321-469-2993,6/7/2000,,mike.martinez
20000826,Lilian,Chen,lilian.chen@example.com,430-553-4332,8/26/2000,,lilian.chen
20000910,Sam,Wade,sam.wade@example.com,161-210-9191,9/10/2000,,sam.wade
20001011,Carol,Gipson,carol.gipson@example.com,373-615-5535,10/11/2000,7/28/2010,carol.gipson
20001022,Lilian,Wills,lilian.wills@example.com,740-514-3060,10/22/2000,,lilian.wills
20001117,Ed,Wu,ed.wu@example.com,521-363-9977,11/17/2000,,ed.wu
20001128,Tommy,Lee,tommy.lee@example.com,541-457-6627,11/28/2000,,tommy.lee
20001203,Carol,Wills,carol.wills@example.com,523-611-6085,12/3/2000,,carol.wills
20001211,John,Wu,john.wu@example.com,101-024-2114,12/11/2000,,john.wu
20010112,Lisa,Johnson,lisa.johnson@example.com,354-175-5313,1/12/2001,,lisa.johnson
20010114,Danny,Gates,danny.gates@example.com,634-264-0522,1/14/2001,,danny.gates
20010125,Mark,Gates,mark.gates@example.com,177-446-6749,1/25/2001,,mark.gates
20010218,Mark,Wills,mark.wills@example.com,156-467-0521,2/18/2001,,mark.wills
20010318,Thomas,Chen,thomas.chen@example.com,444-534-1636,3/18/2001,,thomas.chen
20010401,Lilian,Martinez,lilian.martinez@example.com,521-280-8530,4/1/2001,,lilian.martinez
20010408,Thomas,Lopez,thomas.lopez@example.com,323-241-9924,4/8/2001,,thomas.lopez
20010508,Carol,Washington,carol.washington@example.com,641-387-0950,5/8/2001,,carol.washington
20010510,Adam,Martinez,adam.martinez@example.com,147-659-3925,5/10/2001,,adam.martinez
20010610,John,Lopez,john.lopez@example.com,711-087-7381,6/10/2001,,john.lopez
20010704,Danny,Wu,danny.wu@example.com,401-131-2836,7/4/2001,,danny.wu
20010719,Simon,Yang,simon.yang@example.com,424-710-6014,7/19/2001,10/6/2012,simon.yang
20010802,Lilian,Lee,lilian.lee@example.com,430-406-0370,8/2/2001,,lilian.lee
20010803,Lisa,Martinez,lisa.martinez@example.com,665-195-7104,8/3/2001,,lisa.martinez
20010928,Joyce,Gates,joyce.gates@example.com,651-542-3284,9/28/2001,,joyce.gates
20011019,Mark,Johnson,mark.johnson@example.com,462-435-3139,10/19/2001,,mark.johnson
20011125,Lilian,Wu,lilian.wu@example.com,143-598-2651,11/25/2001,,lilian.wu
20011216,Sam,Gates,sam.gates@example.com,307-492-2361,12/16/2001,,sam.gates
20011219,Mike,Lee,mike.lee@example.com,173-443-0024,12/19/2001,3/30/2002,mike.lee
20020213,John,Yang,john.yang@example.com,257-464-4883,2/13/2002,,john.yang
20020218,Danny,Lopez,danny.lopez@example.com,213-122-7937,2/18/2002,,danny.lopez
20020219,John,Smith,john.smith@example.com,315-727-1996,2/19/2002,,john.smith
20020223,Danny,Martinez,danny.martinez@example.com,365-439-8859,2/23/2002,,danny.martinez
20020325,Simon,Jefferson,simon.jefferson@example.com,447-298-8347,3/25/2002,,simon.jefferson
20020401,Adam,Yang,adam.yang@example.com,134-513-5280,4/1/2002,,adam.yang
20020416,Becky,Yang,becky.yang@example.com,365-023-8214,4/16/2002,,becky.yang
20020510,Carol,Jefferson,carol.jefferson@example.com,713-334-8302,5/10/2002,,carol.jefferson
20020514,John,Martinez,john.martinez@example.com,137-568-4521,5/14/2002,,john.martinez
20020604,Lisa,Lee,lisa.lee@example.com,532-388-4142,6/4/2002,,lisa.lee
20020606,Simon,Gates,simon.gates@example.com,103-625-0097,6/6/2002,,simon.gates
20020607,Simon,Wade,simon.wade@example.com,435-465-1380,6/7/2002,,simon.wade
20020608,Jones,Johnson,jones.johnson@example.com,431-073-7989,6/8/2002,,jones.johnson
20020712,Lilian,Wade,lilian.wade@example.com,464-690-9813,7/12/2002,,lilian.wade
20020719,Lilian,Yang,lilian.yang@example.com,707-285-7010,7/19/2002,,lilian.yang
20020720,Jones,Wu,jones.wu@example.com,700-241-8516,7/20/2002,,jones.wu
20020817,Joyce,Chen,joyce.chen@example.com,234-405-5328,8/17/2002,,joyce.chen
20020828,Thomas,Wills,thomas.wills@example.com,431-438-5799,8/28/2002,,thomas.wills
